,job ID,pay
12,50597141,$20 per hour
17,50610748,$20 - $24.99 per hour
23,50556340,$19 to $22 per hour
25,50621389,$20 - $24.99 per hour
36,50621878,$20 - $24.99 per hour
42,50638893,"$40,000 - $49,999"
48,50633998,$25 per hour
57,50605173,Includes life and health insurance
58,50613327,$60 000 - $70 000 per annum
59,50617901,$20.00 per hour
63,50597000,Includes life and health insurance
66,50597146,$20 - $24.99 per hour
75,50631694,"$55,000 - $69,999"
77,50607720,$20.00 per hour.
78,50607500,$20 - $24.99 per hour
81,50631407,$21 per hour
82,50629996,"$55,000 - $64,999"
89,50602110,"$50,000 - $55,000 plus benefits"
94,50605343,incl Life & Health Insurance
97,50613350,"$45,000 - $49,999"
103,50610172,"$55,000 - $60,000 per annum pro rata"
106,50590951,Includes life and health insurance
114,50622030,$20 - $24.99 per hour
123,50616398,"$48,835 - $63,221"
134,50605903,$20 - $29.99 per hour
148,50598322,$24-$28
156,50597675,Up to $27ph
171,50628245,$20 - $29.99 per hour
173,50608937,$20 - $29.99 per hour
191,50601769,$20 - $24.99 per hour
201,50622872,8% holiday pay
212,50585191,"$55,000 - $64,999"
214,50608495,"$40,000 - $49,999"
219,50637795,"$45,000 - $59,999"
231,50608580,NZD25 - NZD28 per hour
247,50572931,$20 - $24.99 per hour
264,50624680,"$45,000 - $49,999"
271,50597489,Competitive Salary
277,50595916,$22 per hour
278,50624687,NZD75000 per annum
282,50554655,$20 - $24.99 per hour
306,50608494,$75k - $85k p.a.
311,50617790,$24 - $25 + 8% holiday pay!
318,50557862,"$40,000 - $49,999"
319,50629442,"$50,000 per annum."
329,50627457,bonus plus medical insurance
346,50601675,"$55,000 - $64,999"
349,50546400,$20 - $25 per hour
379,50567813,$20 - $24.99 per hour
380,50585036,Good salary
384,50606032,$30 - $38 p.h. + 8% Holiday Pay
393,50552539,"$45-$55,000"
398,50564119,"$50,000 - $54,999"
403,50625346,Up to $23 p.h. + + 8% Holiday Pay
405,50598303,Up to $22.00 p.h.
430,50588771,"NZD69,726-94,127p.a.+Retirement contributions"
442,50606620,$60k-$70k depending on experience!
444,50577091,$22.00 - $23.00 phr
455,50548993,"$40,000 - $49,999"
458,50598173,$27 - $33 p.h. + 8% holiday pay
459,50621413,$60K - $80K experience dependent
473,50607729,$60 - $65k + Career Progression to QS / leadership
478,50540699,$35 - $39.99 per hour
482,50532503,"$55,000 - $64,999"
494,50527000,$20 - $24.99 per hour dependent on experience.
503,50584627,Up to $27 p.h. + 8% Holiday Pay
517,50566261,$20 - $24.99 per hour
530,50608382,NZD19 - NZD23 per hour
532,50572332,"$60,000 pa"
533,50516269,"$40,000 - $49,999"
536,50572479,$21 - $25 p.h. + 8% Holiday Pay
546,50567162,"$60,000 - $69,999"
550,50566756,$21-$23 per hour
558,50571330,"$50,000 - $59,999"
560,50534335,$40 - $45 per hour
569,50508157,$18.50 - $23.50 per hour
575,50507608,$25.5
578,50550177,Up to $35 p.h. + 8% Holiday Pay
579,50557936,$21 - $22 p.h. + 8% Holiday Pay
582,50608492,NZD25 - NZD30 per hour
590,50507396,$25 - $29.99 per hour
602,50524788,Competitive
612,50598236,"$50,000 - $69,999"
613,50482046,Competitive
624,50518022,Attractive salary neg.
625,50508210,"$50,000 - $59,999"
629,50532690,$25 - $29.99 per hour
632,50525990,"$50,000 - $64,999"
633,50517932,$20 - $40 per hour
641,50534257,"$48,000 - $55,000"
644,50498605,$50k - $65k p.a. + plus kiwisaver
650,50515471,$70-$80k+Super
653,50525790,$20 - $30 per hour
656,50513472,"$45,000 - $54,999"
657,50540742,"Competitive hourly rate, experience dependent"
660,50572641,"$55,000 - $65,000 depending on relevant experience"
662,50525046,Competitive salary + phone + parking!
663,50520091,$70-75k per annum
678,50510568,Competitive salary
679,50541482,"$45,000 - $55,000 depending on experience"
682,50543912,$24 - $28 p.h.  + 8% Holiday Pay
683,50547427,$35 - $40 p.h. + + 8% Holiday Pay
691,50493641,"+ Car park, close to public transport"
695,50494247,Circa 50k
696,50539803,Send us your CV today!
704,50597464,Competitive hourly rates $$
711,50478359,Competitive hourly rate depending on experience
720,50494228,Attractive remuneration
721,50556279,Competitive hourly rates $$
724,50488000,Competitive hourly rate
725,50524865,Competitive hourly rates $$
726,50477118,Competitive hourly rates $$
